Lessors of Real Estate,4409
Restaurants and Other Eating Places,3439
"Museums, Historical Sites, and Similar Institutions",3063
Other Amusement and Recreation Industries,2561
Elementary and Secondary Schools,1690
Grocery Stores,1186
"General Merchandise Stores, including Warehouse Clubs and Supercenters",707
Gasoline Stations,547
"Colleges, Universities, and Professional Schools",497
"Sporting Goods, Hobby, and Musical Instrument Stores",471
Child Day Care Services,397
Department Stores,380
Traveler Accommodation,225
Health and Personal Care Stores,196
Other Miscellaneous Store Retailers,194
Building Material and Supplies Dealers,184
"Office Supplies, Stationery, and Gift Stores",171
Spectator Sports,166
Clothing Stores,147
Support Activities for Air Transportation,140
Religious Organizations,127
Specialty Food Stores,119
Junior Colleges,87
Florists,78
General Medical and Surgical Hospitals,71
Used Merchandise Stores,70
"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",66
Other Personal Services,65
"Justice, Public Order, and Safety Activities",63
Drinking Places (Alcoholic Beverages),62
Amusement Parks and Arcades,61
Electronics and Appliance Stores,61
Home Furnishings Stores,59
Home Health Care Services,49
Motion Picture and Video Industries,42
Furniture Stores,41
Technical and Trade Schools,39
Other Information Services,37
Offices of Dentists,33
Depository Credit Intermediation,32
Beverage Manufacturing,31
Personal Care Services,30
Offices of Physicians,29
Consumer Goods Rental,29
Services to Buildings and Dwellings,28
Automobile Dealers,21
Other Motor Vehicle Dealers,18
Other Financial Investment Activities,17
Automotive Repair and Maintenance,17
"Jewelry, Luggage, and Leather Goods Stores",15
Book Stores and News Dealers,14
Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,14
Individual and Family Services,14
"Beer, Wine, and Liquor Stores",13
Other Schools and Instruction,13
Offices of Other Health Practitioners,13
Miscellaneous Durable Goods Merchant Wholesalers,13
